outlier_id	study_name	reason
UCB087	GENCORD	SEX QC
UCB1193	GENCORD	SEX QC
TWPID12889_S	Twins_UK	SEX QC
TWPID8405_S	Twins_UK	SEX QC
TWPID2140_F	Twins_UK	PCA QC
TWPID9396_F	Twins_UK	PCA QC
TWPID10593_B	Twins_UK	PCA QC
TWPID11605_B	Twins_UK	PCA QC
TWPID12889_S	Twins_UK	PCA QC
TWPID8405_S	Twins_UK	PCA QC
TWPID2140_F	Twins_UK	MDS QC
TWPID9396_F	Twins_UK	MDS QC
TWPID10593_B	Twins_UK	MDS QC
TWPID11605_B	Twins_UK	MDS QC
TWPID12889_S	Twins_UK	MDS QC
TWPID8405_S	Twins_UK	MDS QC
eipl_D	Alasoo_2018	SEX QC
fikt_A	Alasoo_2018	SEX QC
fikt_B	Alasoo_2018	SEX QC
fikt_C	Alasoo_2018	SEX QC
fikt_D	Alasoo_2018	SEX QC
S00PVGB5	BLUEPRINT	SEX QC
S00PWEB4	BLUEPRINT	SEX QC
S00PVGB2	BLUEPRINT	SEX QC
S00PWEB1	BLUEPRINT	SEX QC
S003P5B1_mRNA	BLUEPRINT	SEX QC
S003P5B1_RNA	BLUEPRINT	SEX QC
S003Q3B1_mRNA	BLUEPRINT	SEX QC
S003Q3B1_RNA	BLUEPRINT	SEX QC
S00PVGB3	BLUEPRINT	SEX QC
S00PWEB3	BLUEPRINT	SEX QC
